OrderID,ProductID,Quantity,UnitPrice
536365,3,4,2.55
536365,1,1,3.39
536365,4,5,2.75
536365,2,1,3.39
536365,3,1,3.39
536365,1,4,7.65
536365,10,3,4.25
536366,5,5,1.85
536366,2,4,1.85
536367,2,3,1.69
536367,5,2,2.1
536367,5,5,2.1
536367,8,4,3.75
536367,9,1,1.65
536367,2,5,4.25
536367,5,4,4.95
536367,3,1,9.95
536367,6,1,5.95
536367,5,3,5.95
536367,4,1,7.95
536367,3,3,7.95
536368,9,3,4.25
536368,1,5,4.95
536368,2,1,4.95
536368,1,4,4.95
536369,5,3,5.95
536370,2,5,3.75
536370,7,1,3.75
536370,6,4,3.75
536370,6,1,0.85
536370,4,5,0.65
536370,4,5,0.85
536370,1,4,1.25
536370,4,2,2.95
536370,2,4,2.95
536370,4,1,1.95
536370,10,4,1.95
536370,2,3,1.95
536370,3,1,0.85
536370,4,1,1.65
536370,4,2,2.95
536370,4,5,3.75
536370,1,1,0.42
536370,7,1,0.42
536370,10,3,0.65
536370,3,4,18
536371,6,5,2.55
536372,1,5,1.85
536372,4,1,1.85
536373,6,4,2.55
536373,10,4,3.39
536373,1,4,2.75
536373,3,1,4.95
536373,9,5,1.06
536373,3,5,1.06
536373,2,4,1.06
536373,1,5,1.06
536373,7,5,4.95
536373,10,2,6.95
536373,8,4,2.1
536373,7,5,2.55
536373,4,1,3.39
536373,5,3,3.39
536373,9,4,7.65
536373,7,5,4.25
536374,4,4,10.95
536375,6,4,2.55
536375,7,5,3.39
536375,8,4,2.75
536375,8,2,4.95
536375,5,2,1.06
536375,9,5,1.06
536375,2,5,1.06
536375,8,1,1.06
536375,2,4,4.95
536375,2,3,6.95
536375,3,2,2.1
536375,8,2,2.55
536375,3,4,3.39
536375,4,2,3.39
536375,1,4,7.65
536375,6,3,4.25
536376,4,1,3.45
536376,8,1,2.55
536377,8,3,1.85
536377,1,5,1.85
536378,3,3,1.95
536378,6,1,1.95
536378,4,4,2.95
536378,2,5,0.85
536378,9,1,3.75
